,graph_name,code,internal_name,name,directory,data_source,availability,consistency_check,category,node_meaning,edge_meaning,network_format,edge_type,temporal_data,reciprocal,directed_cycles,loops,snapshot,dataset_timestamp,network_join,orientation,multiplicity,connectedness,txt_file_size,compressed_txt_file_size,zero_weights,skew_symmetry,complete,k_core,tournament,paths
10,moreno_kangaroo,MK,moreno_kangaroo,Kangaroos,,http://moreno.ss.uci.edu/data.html#kangaroo,Dataset is available for download,Dataset passed all tests,Animal network,Kangaroo,Interaction,"Unipartite, undirected","Positive weights, no multiple edges",,,,Does not contain loops,,1973,,,,,,,,,,,,
11,iceland,IC,iceland,Iceland,,,Dataset is available for download,Dataset passed all tests,Human contact network,Person,Sexual contact,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,Is a snapshot and likely to not contain all data,1992,,,,Only the largest connected component of the original data is included,,,,,,,,
12,edit-krwikiquote,qkr,edit-krwikiquote,Wikiquote edits (kr),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
13,contiguous-usa,CU,contiguous-usa,Contiguous USA,,http://www-cs-faculty.stanford.edu/~uno/sgb.html,Dataset is available for download,Dataset passed all tests,Infrastructure network,State,Border,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,1912,,,,,,,,,,,,
14,moreno_rhesus,MR,moreno_rhesus,Rhesus macaques,,http://moreno.ss.uci.edu/data.html#rhesus,Dataset is available for download,Dataset passed all tests,Animal network,Monkey,Grooming,"Unipartite, directed","Positive weights, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,,,,,,
15,dolphins,DO,dolphins,Dolphins,,http://www-personal.umich.edu/~mejn/netdata/,Dataset is available for download,Dataset passed all tests,Animal network,Dolphin,Association,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,1994 ⋯ 2001,,,,,,,,,,,,
16,dimacs10-chesapeake,CB,dimacs10-chesapeake,Chesapeake Bay,,https://www.cc.gatech.edu/dimacs10/archive/clustering.shtml,Dataset is available for download,Dataset passed all tests,Trophic network,Organism type,Carbon exchange,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,Is a snapshot and likely to not contain all data,1989,,"Is not directed, but the underlying data is","Does not have multiple edges, but the underlying data has",,,,,,,,,
17,brunson_revolution,Ar,brunson_revolution,American Revolution,,https://github.com/corybrunson/triadic,Dataset is available for download,Dataset passed all tests,Affiliation network,"Person, organization",Membership,"Bipartite, undirected","Unweighted, no multiple edges",,,,,,,,,,,,,,,,,,
18,edit-gnwikibooks,bgn,edit-gnwikibooks,Wikibooks edits (gn),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
19,edit-rmwikibooks,brm,edit-rmwikibooks,Wikibooks edits (rm),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
20,edit-angwikisource,qang,edit-angwikisource,Wikiquote edits (ang),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
21,edit-kswikiquote,qks,edit-kswikiquote,Wikiquote edits (ks),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
22,edit-bmwikibooks,bbm,edit-bmwikibooks,Wikibooks edits (bm),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
23,edit-bmwikiquote,qbm,edit-bmwikiquote,Wikiquote edits (bm),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
24,moreno_sampson,Ms,moreno_sampson,Crisis in a Cloister,,http://moreno.ss.uci.edu/data.html#sampson,Dataset is available for download,Dataset passed all tests,Human social network,Monk,Ratings,"Unipartite, directed","Signed, possibly weighted, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,Edges may have weight zero,,,,,
25,edit-biwikibooks,bbi,edit-biwikibooks,Wikibooks edits (bi),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
26,moreno_cattle,MA,moreno_cattle,Cattle,,http://moreno.ss.uci.edu/data.html#cattle,Dataset is available for download,Dataset passed all tests,Animal network,Cattle,Dominance,"Unipartite, directed","Positive weights, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,1955,,,,,,,,Inverted edges can be interpreted as negated edges,,,,
27,maayan-pdzbase,MP,maayan-pdzbase,PDZBase,,http://research.mssm.edu/maayan/datasets/qualitative_networks.shtml,Dataset is available for download,Dataset passed all tests,Metabolic network,Protein,Interaction,"Unipartite, undirected","Unweighted, no multiple edges",,,,Contains loops,,,,,,,,,,,,,,
28,edit-rnwiktionary,mrn,edit-rnwiktionary,Wiktionary edits (rn),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
29,edit-mhwiktionary,mmh,edit-mhwiktionary,Wiktionary edits (mh),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
30,league-be1-2016,b6,league-be1-2016,Pro League (2016/2017),,,Dataset is available for download,Dataset passed all tests,Interaction network,Team,Game,"Unipartite, directed","Signed, possibly weighted, multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,2016 ⋯ 2017,,,,,,,Edges may have weight zero,Inverted edges can be interpreted as negated edges,,,,
31,edit-tkwikiquote,qtk,edit-tkwikiquote,Wikiquote edits (tk),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
32,edit-chwiktionary,mch,edit-chwiktionary,Wiktionary edits (ch),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
33,moreno_train,Mt,moreno_train,Train bombing,,http://moreno.ss.uci.edu/data.html#train,Dataset is available for download,Dataset passed all tests,Human social network,Terrorist,Contact,"Unipartite, undirected","Positive weights, no multiple edges",,,,Does not contain loops,,,,,,,,,,,,,,
34,edit-ugwikiquote,qug,edit-ugwikiquote,Wikiquote edits (ug),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
35,edit-avwiktionary,mav,edit-avwiktionary,Wiktionary edits (av),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
36,moreno_sheep,Mc,moreno_sheep,Sheep,,http://moreno.ss.uci.edu/data.html#sheep,Dataset is available for download,Dataset passed all tests,Animal network,Sheep,Dominance,"Unipartite, directed","Positive weights, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,1984,,,,,,,,Inverted edges can be interpreted as negated edges,,,,
37,edit-akwiktionary,mak,edit-akwiktionary,Wiktionary edits (ak),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
38,gene_fusion,GF,gene_fusion,Gene fusion,,,Dataset is available for download,Dataset passed all tests,Miscellaneous network,Gene,Observed fusion during oncogenesis,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,Is a snapshot and likely to not contain all data,2006,,,,,,,,,,,,
39,edit-kswikibooks,bks,edit-kswikibooks,Wikibooks edits (ks),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
40,moreno_lesmis,Ml,moreno_lesmis,Les Misérables,,http://moreno.ss.uci.edu/data.html#lesmis,Dataset is available for download,Dataset passed all tests,Miscellaneous network,Character,Co-occurence,"Unipartite, undirected","Positive weights, no multiple edges",,,,Does not contain loops,,,,,,,,,,,,,,
41,edit-chwikibooks,bch,edit-chwikibooks,Wikibooks edits (ch),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
42,edit-aswikibooks,bas,edit-aswikibooks,Wikibooks edits (as),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
43,edit-mywikibooks,bmy,edit-mywikibooks,Wikibooks edits (my),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
44,edit-aawikibooks,baa,edit-aawikibooks,Wikibooks edits (aa),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
45,league-de1-2016,d6,league-de1-2016,Bundesliga (2016/2017),,,Dataset is available for download,Dataset passed all tests,Interaction network,Team,Game,"Unipartite, directed","Signed, possibly weighted, multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,2016 ⋯ 2017,,,,,,,Edges may have weight zero,Inverted edges can be interpreted as negated edges,Edges exist between all possible nodes,,,
46,edit-nahwikibooks,bnah,edit-nahwikibooks,Wikibooks edits (nah),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
47,moreno_bison,MB,moreno_bison,Bison,,http://moreno.ss.uci.edu/data.html#bison,Dataset is available for download,Dataset passed all tests,Animal network,Bison,Dominance,"Unipartite, directed","Positive weights, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,1972-07-25 ⋯ 1972-08-14,,,,,,,,Inverted edges can be interpreted as negated edges,,,,
48,edit-gotwikibooks,bgot,edit-gotwikibooks,Wikibooks edits (got),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
49,edit-crwiktionary,mcr,edit-crwiktionary,Wiktionary edits (cr),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
50,edit-alswikiquote,qals,edit-alswikiquote,Wikiquote edits (als),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
51,edit-ttwikiquote,qtt,edit-ttwikiquote,Wikiquote edits (tt),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
52,edit-quwikibooks,bqu,edit-quwikibooks,Wikibooks edits (qu),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
53,adjnoun_adjacency,AN,adjnoun_adjacency,David Copperfield,,http://www-personal.umich.edu/~mejn/netdata/adjnoun.zip,Dataset is available for download,Dataset passed all tests,Lexical network,Word,Adjacency,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,,,"Is not directed, but the underlying data is",,,,,,,,,,
54,moreno_beach,MW,moreno_beach,Windsurfers,,http://moreno.ss.uci.edu/data.html#beach,Dataset is available for download,Dataset passed all tests,Human contact network,Person,Contact,"Unipartite, undirected","Positive weights, no multiple edges",,,,Does not contain loops,,,,,,,,,,,,,,
55,edit-vowikiquote,qvo,edit-vowikiquote,Wikiquote edits (vo),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
56,dimacs10-polbooks,PB,dimacs10-polbooks,Political books,,https://www.cc.gatech.edu/dimacs10/archive/clustering.shtml,Dataset is available for download,Dataset passed all tests,Miscellaneous network,Book,Co-purchase,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,Is a snapshot and likely to not contain all data,2004,Is the join of an underlying network,,"Does not have multiple edges, but the underlying data has",,,,,,,Only nodes with degree larger than a given threshold are included,,
57,edit-sewikibooks,bse,edit-sewikibooks,Wikibooks edits (se),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
58,edit-bowikibooks,bbo,edit-bowikibooks,Wikibooks edits (bo),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
59,moreno_seventh,MX,moreno_seventh,Seventh graders,,http://moreno.ss.uci.edu/data.html#seventh,Dataset is available for download,Dataset passed all tests,Human social network,Student,Proximity,"Unipartite, directed","Positive weights, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,,,,,,
60,edit-xhwiktionary,mxh,edit-xhwiktionary,Wiktionary edits (xh),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
61,edit-ugwikibooks,bug,edit-ugwikibooks,Wikibooks edits (ug),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
62,league-fr1-2016,f6,league-fr1-2016,Ligue 1 (2016/2017),,,Dataset is available for download,Dataset passed all tests,Interaction network,Team,Game,"Unipartite, directed","Signed, possibly weighted, multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,2016 ⋯ 2017,,,,,,,Edges may have weight zero,Inverted edges can be interpreted as negated edges,Edges exist between all possible nodes,,,
63,league-uk1-2013,u3,league-uk1-2013,Premier League (2013/2014),,,Dataset is available for download,Dataset passed all tests,Interaction network,Team,Game,"Unipartite, directed","Signed, possibly weighted, multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,2013 ⋯ 2014,,,,,,,Edges may have weight zero,Inverted edges can be interpreted as negated edges,Edges exist between all possible nodes,,,
64,moreno_highschool,MH,moreno_highschool,Highschool,,http://moreno.ss.uci.edu/data.html#high,Dataset is available for download,Dataset passed all tests,Human social network,Boy,Friendship,"Unipartite, directed","Positive weights, no multiple edges",,Contains reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,,,,,,
65,edit-miwikibooks,bmi,edit-miwikibooks,Wikibooks edits (mi),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
66,edit-gawikiquote,qga,edit-gawikiquote,Wikiquote edits (ga),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
67,edit-rmwiktionary,mrm,edit-rmwiktionary,Wiktionary edits (rm),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
68,edit-akwikibooks,bak,edit-akwikibooks,Wikibooks edits (ak),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
69,edit-aawiktionary,maa,edit-aawiktionary,Wiktionary edits (aa),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
70,moreno_hens,Mh,moreno_hens,Hens,,http://moreno.ss.uci.edu/data.html#hens,Dataset is available for download,Dataset passed all tests,Animal network,Hen,Dominance,"Unipartite, directed","Unweighted, no multiple edges",,Does not contain reciprocal edges,Contains directed cycles,Does not contain loops,,,,,,,,,,Inverted edges can be interpreted as negated edges,,,All pairs of nodes are connected by a directed edge,
71,edit-guwikibooks,bgu,edit-guwikibooks,Wikibooks edits (gu),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
72,edit-bmwiktionary,mbm,edit-bmwiktionary,Wiktionary edits (bm),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
73,edit-wawikibooks,bwa,edit-wawikibooks,Wikibooks edits (wa),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
74,edit-lnwikibooks,bln,edit-lnwikibooks,Wikibooks edits (ln),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
75,edit-yowikibooks,byo,edit-yowikibooks,Wikibooks edits (yo),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
76,dimacs10-football,AF,dimacs10-football,American football,,https://www.cc.gatech.edu/dimacs10/archive/clustering.shtml,Dataset is available for download,Dataset passed all tests,Interaction network,Team,Game,"Unipartite, undirected","Unweighted, no multiple edges",,,,Does not contain loops,,2000,,"Is not directed, but the underlying data is","Does not have multiple edges, but the underlying data has",,,,,,,,,
77,edit-kkwikiquote,qkk,edit-kkwikiquote,Wikiquote edits (kk),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
78,edit-bowiktionary,mbo,edit-bowiktionary,Wiktionary edits (bo),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
79,edit-xhwikibooks,bxh,edit-xhwikibooks,Wikibooks edits (xh),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
80,edit-lbwikibooks,blb,edit-lbwikibooks,Wikibooks edits (lb),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
81,edit-muswiki,mus,edit-muswiki,Wikipedia edits (mus),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
82,dbpedia-similar,SI,dbpedia-similar,Similarities (DBpedia),,http://wiki.dbpedia.org/Downloads,Dataset is available for download,Dataset passed all tests,Miscellaneous network,Concept,Similarity,"Unipartite, undirected","Unweighted, no multiple edges",,,,Contains loops,,2001 ⋯ 2017,,,,,,,,,,,,
83,edit-zawikibooks,bza,edit-zawikibooks,Wikibooks edits (za),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
84,edit-scwiktionary,msc,edit-scwiktionary,Wiktionary edits (sc),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
85,edit-biwiktionary,mbi,edit-biwiktionary,Wiktionary edits (bi),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
86,edit-towiktionary,mto,edit-towiktionary,Wiktionary edits (to),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
87,edit-yowiktionary,myo,edit-yowiktionary,Wiktionary edits (yo),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
88,edit-pswikibooks,bps,edit-pswikibooks,Wikibooks edits (ps),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
89,edit-twwiktionary,mtw,edit-twwiktionary,Wiktionary edits (tw),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
90,edit-dzwiktionary,mdz,edit-dzwiktionary,Wiktionary edits (dz),,http://dumps.wikimedia.org/,Dataset is available for download,Dataset passed all tests,Authorship network,"User, article",Edit,"Bipartite, undirected","Unweighted, multiple edges",Edges are annotated with timestamps,,,,,2017-10-20,,,,,,,,,,,,
