,graph_name,directed,size,volume,n,m,unique_edge_count,loop_count,wedge_count,claw_count,cross_count,triangle_count,square_count,tour_count_4,maximum_degree,maximum_outdegree,maximum_indegree,average_degree,fill,average_edge_multiplicity,size_of_lcc,size_of_lscc,relative_size_of_lscc,diameter,percentile_effective_diameter_50,percentile_effective_diameter_90,median_distance,mean_distance,gini_coefficient,balanced_inequality_ratio,outdegree_balanced_inequality_ratio,indegree_balanced_inequality_ratio,relative_edge_distribution_entropy,power_law_exponent,tail_power_law_exponent,tail_power_law_exponent_with_p,p_value,degree_assortativity,degree_assortativity_p_value,clustering_coefficient,directed_clustering_coefficient,spectral_norm,operator_2_norm,cyclic_eigenvalue,reciprocity,non_bipartivity,normalized_non_bipartivity,algebraic_non_bipartivity,spectral_bipartite_frustration,relative_controllability,controllability,in_outdegree_correlation,outdegree_tail_power_law_exponent_with_p,indegree_p_value,indegree_tail_power_law_exponent_with_p,outdegree_p_value,algebraic_connectivity,spectral_separation,triadic_conflict,spectral_signed_frustration,algebraic_conflict,negativity,left_balanced_inequality_ratio,average_left_degree,right_size,left_size,maximum_right_degree,maximum_left_degree,right_balanced_inequality_ratio,right_tail_power_law_exponent_with_p,left_p_value,right_p_value,left_tail_power_law_exponent_with_p,average_right_degree
10,moreno_kangaroo,0,17,91,,,,0,1010,3567,8845,283,2114,21134,15,,,10.7059,0.669118,,17,,,3,0.659794,1.66667,1,1.22759,0.184228,0.406593,,,0.968337,1.45147,6.071,6.071,0.056,-0.193351,0.00891749,0.840594,,124.79,,,,0.765565,0.654378,0.904799,0.0211285,0.0,0,,,,,,1.039,2.30723,,,,,,,,,,,,,,,,
11,iceland,0,75,114,,,,0,839,3782,15179,44,81,4232,24,,,3.04,0.0410811,,75,,,6,2.61121,4.38329,3,3.18682,0.520936,0.285088,,,0.875261,2.54464,1.921,1.921,0.256,-0.401272,3.12994e-10,0.15733,,6.81748,,,,0.324454,0.0453964,0.081474,0.00670016,0.52,39,,,,,,0.0871414,1.48028,,,,,,,,,,,,,,,,
12,edit-krwikiquote,0,39,37,,,30,,47,68,73,,1,276,8,,,1.89744,0.0857143,1.23333,9,,,2,1.29839,1.85968,2,1.6092,0.420541,0.324324,,,0.935015,4.65483,2.541,2.541,0.576,-0.342517,0.0639079,,,4.0,,,,,,,,0.315789,12,,,,,,0.304084,1.17157,,,,,0.297297,2.64286,25,14,5,8,0.378378,3.131,0.667,0.893,2.091,1.48
13,contiguous-usa,0,49,107,,,,0,421,494,382,57,70,2458,8,,,4.36735,0.0909864,,49,,,11,3.47664,6.98376,4,4.25502,0.201221,0.425234,,,0.982602,1.71537,8.991,8.991,0.668,0.233397,0.000577516,0.406176,,5.31855,,,,0.456938,0.28182,0.483588,0.027682,0.0612245,3,,,,,,0.0980487,1.16623,,,,,,,,,,,,,,,,
14,moreno_rhesus,1,16,111,,,,0,586,8175,30109,131,724,8274,20,10,12,13.875,0.4625,,16,16,1.0,2,0.860714,1.76667,1,1.36996,0.205518,0.414414,0.405405,0.378378,0.97286,2.00956,8.991,8.991,0.165,-0.109139,0.202576,0.670648,0.616095,122.605,78.2869,49.7224,0.756757,0.645909,0.625357,2.64703,0.0767255,0.0,0,0.532295,6.521,0.923,8.521,0.146,8.1602,1.92312,,,,,,,,,,,,,,,,
15,dolphins,0,62,159,,,,0,923,1861,2769,95,278,6234,12,,,5.12903,0.0840825,,62,,,8,2.83659,5.05229,3,3.45433,0.325015,0.386792,,,0.957397,1.70853,7.711,7.711,0.469,-0.043594,0.438517,0.308776,,7.19361,,,,0.46883,0.286231,0.528476,0.025759,0.0967742,6,,,,,,0.172973,1.2118,,,,,,,,,,,,,,,,
16,dimacs10-chesapeake,0,39,170,,,,0,2048,12393,72638,194,1762,22628,33,,,8.71795,0.22942,,39,,,3,1.39512,1.95519,2,1.82863,0.317496,0.364706,,,0.949334,2.10665,3.571,3.571,0.625,-0.375783,7.61105e-13,0.28418,,11.4959,,,,0.374781,0.352276,1.74751,0.0501125,0.0512821,2,,,,,,1.63679,1.59944,,,,,,,,,,,,,,,,
17,brunson_revolution,0,141,160,,,,,3433,58072,756527,,64,14872,59,,,2.2695,0.235294,,141,,,6,3.07998,3.82569,4,3.10733,0.551654,0.296875,,,0.772611,5.50371,2.721,2.721,0.014,-0.243064,0.00195475,,,7.94968,,,,,,,,0.929078,131,,,,,,0.0763335,1.1031,,,,,0.45625,1.17647,5,136,59,4,0.3,2.011,0.196,0.554,3.391,32.0
18,edit-gnwikibooks,0,68,62,,,54,,85,97,92,,4,484,8,,,1.82353,0.0547112,1.14815,10,,,4,1.52174,3.4,2,2.09259,0.396019,0.33871,,,0.949346,4.42279,2.491,2.491,0.282,-0.0365784,0.792864,,,4.07914,,,,,,,,0.411765,28,,,,,,,1.28994,,,,,0.33871,2.95238,47,21,3,8,0.419355,3.471,0.447,0.087,3.651,1.31915
19,edit-rmwikibooks,0,70,67,,,58,,98,117,113,,4,552,8,,,1.91429,0.0563654,1.15517,12,,,5,1.69672,3.58077,2,2.30189,0.415474,0.335821,,,0.946903,4.1103,2.411,2.411,0.292,-0.0343382,0.798032,,,4.07914,,,,,,,,0.4,28,,,,,,0.303016,1.24702,,,,,0.313433,3.19048,49,21,3,8,0.41791,3.251,0.434,0.047,3.121,1.36735
20,edit-angwikisource,0,59,68,,,55,,117,170,163,,16,754,14,,,2.30508,0.0705128,1.23636,17,,,6,2.39394,4.97561,3,3.05172,0.420437,0.330882,,,0.930345,3.6037,2.271,2.271,0.541,-0.392821,0.00301132,,,5.97426,,,,,,,,0.457627,27,,,,,,0.0859569,1.72953,,,,,0.294118,3.4,39,20,7,14,0.352941,2.731,0.338,0.208,3.611,1.74359
21,edit-kswikiquote,0,77,70,,,61,,91,116,113,,4,550,10,,,1.81818,0.046003,1.14754,9,,,4,1.35714,2.76875,2,1.83908,0.420448,0.335714,,,0.949612,4.4841,2.501,2.501,0.41,-0.211389,0.101969,,,4.25046,,,,,,,,0.350649,27,,,,,,,1.02265,,,,,0.342857,2.69231,51,26,4,10,0.414286,3.341,0.605,0.842,2.651,1.37255
22,edit-bmwikibooks,0,79,75,,,63,,96,102,88,,4,558,8,,,1.89873,0.0466667,1.19048,13,,,5,2.07143,3.78421,3,2.56395,0.402963,0.34,,,0.951169,4.28023,2.451,2.451,0.512,-0.0302604,0.813876,,,4.17517,,,,,,,,0.358974,28,,,,,,0.177502,1.25232,,,,,0.346667,3.0,54,25,5,8,0.413333,3.381,0.365,0.852,2.551,1.38889
23,edit-bmwikiquote,0,84,77,,,65,,94,107,97,,4,554,8,,,1.83333,0.0414541,1.18462,11,,,4,1.94595,3.5875,2,2.40909,0.410482,0.337662,,,0.952964,4.67413,2.551,2.551,0.373,-0.04811,0.703523,,,4.74529,,,,,,,,0.357143,30,,,,,,0.387754,1.16331,,,,,0.311688,2.75,56,28,7,8,0.415584,3.511,0.528,0.511,2.641,1.375
24,moreno_sampson,1,18,189,,,,0,1683,24660,119784,479,4313,41382,28,15,16,21.0,0.601307,,18,18,1.0,2,0.580709,1.43898,1,1.12387,0.107186,0.423913,0.402174,0.434783,0.992852,2.49576,8.991,8.991,0.216,-0.0792681,0.211656,0.853832,0.655719,10.907,7.11974,4.04028,0.641304,0.727559,0.730621,6.26551,0.112779,0.0,0,0.115657,8.141,0.053,3.291,0.924,9.95207,1.05239,0.380062,0.153345,7.49684,0.472826,,,,,,,,,,,,
25,edit-biwikibooks,0,78,79,,,67,,124,167,168,,7,718,10,,,2.02564,0.0516975,1.1791,21,,,6,2.50917,4.13824,3,2.96163,0.429442,0.329114,,,0.942556,3.96259,2.371,2.371,0.3,-0.0180524,0.884714,,,4.72499,,,,,,,,0.384615,30,,,,,,0.11704,1.16949,,,,,0.341772,3.29167,54,24,6,10,0.405063,3.121,0.136,0.141,3.491,1.46296
26,moreno_cattle,1,28,217,,,,0,3136,19026,75584,678,7216,70682,24,18,17,15.5,0.287037,,28,20,0.714286,3,0.959584,1.83284,1,1.47238,0.181698,0.412442,0.341014,0.37788,0.978603,1.38881,5.411,5.411,0.097,-0.132868,0.00705749,0.648597,0.599535,45.0445,29.6579,9.61414,0.110599,0.722318,0.671382,0.941479,0.016074,0.107143,3,-0.249901,5.221,0.464,5.291,0.241,1.9882,2.24031,,,,,,,,,,,,,,,,
27,maayan-pdzbase,0,212,244,,,,2,1049,3221,9571,1,122,5656,21,,,2.30189,0.010807,,161,,,10,4.71888,7.20609,5,5.11456,0.442178,0.317623,,,0.924723,3.00686,2.091,2.091,0.009,-0.356716,5.71288e-16,0.00285987,,5.84066,,,,0.000152507,0.00256968,0.00666135,0.000641433,0.471698,100,,,,,,0.045973,1.00015,,,,,,,,,,,,,,,,
28,edit-rnwiktionary,0,89,88,,,78,,249,999,3278,,6,1320,19,,,1.97753,0.046595,1.12821,23,,,5,1.61411,3.18167,2,2.22686,0.474523,0.306818,,,0.912718,4.45425,2.501,2.501,0.947,-0.178224,0.118489,,,4.73225,,,,,,,,0.438202,39,,,,,,0.0739999,1.01315,,,,,0.295455,3.25926,62,27,9,19,0.409091,3.271,0.906,0.155,2.761,1.41935
29,edit-mhwiktionary,0,83,92,,,67,,110,147,153,,3,626,21,,,2.21687,0.0427842,1.37313,33,,,9,3.45109,5.99162,4,4.05103,0.481683,0.304348,,,0.947459,4.38271,2.481,2.481,0.363,-0.0885168,0.476275,,,11.0936,,,,,,,,0.301205,25,,,,,,0.078662,2.14514,,,,,0.304348,3.17241,54,29,21,11,0.369565,3.401,0.48,0.574,4.341,1.7037
30,league-be1-2016,1,16,239,,,179,0,1680,26932,135430,560,4755,44548,30,15,15,29.875,0.745833,1.3352,16,16,1.0,1,0.468872,0.893774,1,0.941392,0.0583101,0.458101,0.441341,0.424581,0.997941,10.2349,8.991,8.991,0.001,-0.121119,0.065527,1.0,0.75496,17.3706,16.4977,2.39884,0.703911,0.77752,0.832478,11.2695,0.194302,0.0,0,-0.196684,8.621,0.292,8.991,0.417,23.6833,1.04716,0.476923,0.3045,12.789,0.335196,,,,,,,,,,,,
31,edit-tkwikiquote,0,93,95,,,82,,158,227,233,,14,960,13,,,2.04301,0.0460157,1.15854,12,,,7,1.84375,4.675,2,2.64151,0.427592,0.326316,,,0.943613,3.77921,2.861,2.861,0.241,0.0810802,0.468983,,,5.23962,,,,,,,,0.419355,39,,,,,,0.143132,1.43846,,,,,0.315789,3.51852,66,27,4,13,0.4,7.181,0.042,0.879,2.251,1.43939
32,edit-chwiktionary,0,103,98,,,83,,144,208,231,,8,834,12,,,1.90291,0.0344113,1.18072,29,,,6,2.869,4.45949,3,3.27611,0.415321,0.341837,,,0.94833,4.42259,2.491,2.491,0.187,-0.0149319,0.893418,,,5.38846,,,,,,,,0.300971,31,,,,,,0.155164,1.15364,,,,,0.326531,2.72222,67,36,12,10,0.397959,3.281,0.342,0.134,3.151,1.46269
33,moreno_train,0,64,243,,,,0,2818,14360,65267,527,3672,41134,29,,,7.59375,0.120536,,64,,,6,2.08761,3.63138,3,2.62749,0.428305,0.329218,,,0.926924,1.6029,4.041,4.041,0.817,0.0294646,0.516967,0.561036,,19.4863,,,,0.655074,0.454523,0.831432,0.0273723,0.03125,2,,,,,,0.332207,2.16247,,,,,,,,,,,,,,,,
34,edit-ugwikiquote,0,93,100,,,81,,152,209,199,,14,934,12,,,2.15054,0.0445055,1.23457,12,,,7,1.84375,4.675,2,2.64151,0.463846,0.32,,,0.943482,3.88546,2.351,2.351,0.128,0.098595,0.381193,,,8.0,,,,,,,,0.397849,37,,,,,,0.122267,1.53708,,,,,0.3,3.57143,65,28,8,12,0.39,7.181,0.479,0.858,8.991,1.53846
35,edit-avwiktionary,0,107,100,,,86,,142,195,209,,13,880,11,,,1.86916,0.034127,1.16279,15,,,6,2.21569,3.8918,3,2.72458,0.412917,0.345,,,0.950028,4.42493,2.491,2.491,0.234,0.165911,0.12684,,,5.0998,,,,,,,,0.364486,39,,,,,,0.182941,1.09917,,,,,0.3,2.85714,72,35,3,11,0.41,6.881,0.05,0.856,1.941,1.38889
36,moreno_sheep,1,28,250,,,,0,4052,28398,128061,983,12006,112726,26,18,21,17.8571,0.330688,,28,22,0.785714,3,0.821146,1.75514,1,1.36979,0.158429,0.434,0.352,0.364,0.983126,1.73313,8.991,8.991,0.274,-0.00400026,0.931075,0.727789,0.643463,59.8919,38.3539,13.8116,0.12,0.755225,0.664061,3.65332,0.0544112,0.0357143,1,-0.338766,8.431,0.464,3.981,0.169,3.9723,2.7729,,,,,,,,,,,,,,,,
37,edit-akwiktionary,0,119,100,,,87,,138,263,422,,4,798,14,,,1.68067,0.0275316,1.14943,14,,,4,1.43023,2.385,2,1.88177,0.402532,0.345,,,0.950984,5.51486,2.731,2.731,0.898,0.0454151,0.676172,,,4.69092,,,,,,,,0.338983,40,,,,,,0.316929,1.13772,,,,,0.31,2.5,79,40,4,14,0.43,3.801,0.809,0.368,2.531,1.26582
38,gene_fusion,0,291,279,,,,0,1786,12060,76272,1,41,8030,34,,,1.91753,0.00661216,,110,,,9,3.38324,5.30895,4,3.87139,0.431672,0.340502,,,0.901129,4.45736,2.501,2.501,0.06,-0.354688,5.51293e-18,0.00167973,,5.85817,,,,0.000835519,0.00650011,0.0134414,0.00149047,0.546392,159,,,,,,0.0308397,1.00084,,,,,,,,,,,,,,,,
39,edit-kswikibooks,0,89,110,,,83,,277,766,1829,,57,1734,25,,,2.47191,0.051875,1.3253,43,,,10,3.77506,6.54324,4,4.34114,0.473153,0.322727,,,0.921784,3.51198,2.891,2.891,0.047,0.241924,0.0275633,,,7.60409,,,,,,,,0.44186,38,,,,,,0.0627369,1.0087,,,,,0.272727,4.4,64,25,7,25,0.345455,5.631,0.641,0.517,2.141,1.71875
40,moreno_lesmis,0,77,254,,,,0,2808,15177,83352,467,2672,33116,36,,,6.5974,0.0868079,,77,,,5,2.17205,3.3951,3,2.63558,0.461039,0.32874,,,0.916522,1.69113,4.121,4.121,0.951,-0.165225,0.000183617,0.498932,,65.0263,,,,0.561283,0.134561,0.240638,0.00911868,0.194805,15,,,,,,0.55436,1.33338,,,,,,,,,,,,,,,,
41,edit-chwikibooks,0,84,112,,,84,,259,770,1823,,57,1772,26,,,2.66667,0.0583333,1.33333,39,,,8,3.78866,6.50074,4,4.27197,0.503869,0.303571,,,0.921253,3.3527,2.731,2.731,0.829,0.0201354,0.855742,,,7.92834,,,,,,,,0.452381,38,,,,,,0.137288,1.23642,,,,,0.267857,4.66667,60,24,13,26,0.357143,4.511,0.671,0.317,2.461,1.86667
42,edit-aswikibooks,0,102,116,,,95,,317,1026,2842,,80,2134,28,,,2.27451,0.0431622,1.22105,42,,,10,3.6447,6.14362,4,4.15324,0.456897,0.327586,,,0.923688,3.64749,2.901,2.901,0.635,0.302514,0.00288575,,,8.19321,,,,,,,,0.386139,39,,,,,,0.0436125,2.31353,,,,,0.267241,3.74194,71,31,5,28,0.37069,4.691,0.786,0.714,2.281,1.6338
43,edit-mywikibooks,0,98,123,,,87,,327,1484,6144,,7,1578,22,,,2.5102,0.0476712,1.41379,48,,,8,3.05421,4.78067,4,3.41473,0.558303,0.276423,,,0.915019,4.14567,2.421,2.421,0.785,-0.113753,0.294139,,,13.5833,,,,,,,,0.484536,47,,,,,,0.066938,1.8798,,,,,0.292683,4.92,73,25,22,22,0.365854,3.441,0.391,0.19,2.921,1.68493
44,edit-aawikibooks,0,115,119,,,100,,228,440,702,,50,1540,21,,,2.06957,0.0351617,1.19,15,,,6,1.9,3.848,2,2.57627,0.410488,0.348739,,,0.941207,3.93059,3.001,3.001,0.156,0.43246,7.013659999999999e-06,,,7.12763,,,,,,,,0.373913,43,,,,,,0.0875607,1.67114,,,,,0.294118,3.30556,79,36,4,21,0.394958,6.231,0.571,0.652,2.351,1.50633
45,league-de1-2016,1,18,306,,,232,0,2448,47061,277047,816,7605,70048,34,17,17,34.0,0.75817,1.31897,18,18,1.0,1,0.471246,0.894249,1,0.945619,0.0560345,0.461207,0.443966,0.448276,0.998181,7.85465,8.991,8.991,0.003,-0.113517,0.0526561,1.0,0.755752,19.5998,18.5132,3.24263,0.741379,0.771061,0.825038,12.2563,0.188882,0.0,0,0.155646,8.991,0.535,8.991,0.572,30.0087,1.04879,0.459959,0.326982,14.8232,0.353448,,,,,,,,,,,,
46,edit-nahwikibooks,0,97,122,,,94,,331,1078,2983,,93,2304,30,,,2.51546,0.0509209,1.29787,26,,,7,3.10213,4.85,4,3.41216,0.478806,0.32377,,,0.919908,3.4708,2.931,2.931,0.023,0.195165,0.0594232,,,8.46221,,,,,,,,0.458333,44,,,,,,0.102239,1.17092,,,,,0.286885,4.69231,71,26,11,30,0.368852,6.191,0.799,0.227,2.191,1.71831
47,moreno_bison,1,26,314,,,,0,3872,73357,498232,1018,12388,115036,39,18,22,24.1538,0.483077,,26,26,1.0,2,0.739785,1.70281,1,1.30135,0.19194,0.406051,0.417197,0.394904,0.97911,2.00765,8.991,8.991,0.409,-0.104224,0.0280969,0.78874,0.658149,88.4386,51.6578,35.3506,0.585987,0.790714,0.738205,5.50878,0.0806465,0.0,0,0.390729,8.551,0.372,8.911,0.085,11.2088,2.73685,,,,,,,,,,,,,,,,
48,edit-gotwikibooks,0,90,127,,,95,,467,2069,7407,,109,2990,33,,,2.82222,0.0584615,1.33684,37,,,7,2.27371,4.60621,3,3.05363,0.517505,0.314961,,,0.900063,3.29273,2.181,2.181,0.0,0.301586,0.00297735,,,8.85511,,,,,,,,0.466667,42,,,,,,0.0261862,1.24179,,,,,0.212598,5.08,65,25,5,33,0.377953,6.121,0.212,0.526,1.821,1.95385
49,edit-crwiktionary,0,106,124,,,100,,454,2231,9131,,109,2908,33,,,2.33962,0.041511,1.24,30,,,5,1.61017,3.00833,2,2.21768,0.447194,0.346774,,,0.911269,3.72731,3.281,3.281,0.002,0.487739,2.6482999999999997e-07,,,8.8736,,,,,,,,0.415094,44,,,,,,0.384039,2.46109,,,,,0.258065,3.75758,73,33,4,33,0.379032,6.801,0.497,0.639,2.321,1.69863
50,edit-alswikiquote,0,111,124,,,92,,321,1136,3281,,46,1848,33,,,2.23423,0.0345865,1.34783,25,,,5,1.82753,3.50992,2,2.474,0.475913,0.326613,,,0.916202,4.9996,2.621,2.621,0.046,0.162428,0.121877,,,10.7833,,,,,,,,0.387387,43,,,,,,0.396649,1.49815,,,,,0.25,3.54286,76,35,8,33,0.379032,3.181,0.588,0.032,2.091,1.63158
51,edit-ttwikiquote,0,93,130,,,103,,438,1674,5627,,105,2850,32,,,2.7957,0.0605882,1.26214,46,,,12,3.68908,7.24837,4,4.44506,0.514253,0.303846,,,0.915915,2.97117,2.821,2.821,0.567,0.0725829,0.466242,,,8.60304,,,,,,,,0.462366,43,,,,,,0.0529477,1.3944,,,,,0.269231,5.2,68,25,7,32,0.353846,4.741,0.331,0.685,2.631,1.91176
52,edit-quwikibooks,0,100,134,,,95,,479,2947,15512,,39,2522,53,,,2.68,0.0506667,1.41053,34,,,6,1.80425,3.40893,2,2.46992,0.555124,0.291045,,,0.89799,3.95078,2.371,2.371,0.021,-0.0628651,0.545032,,,13.3778,,,,,,,,0.5,50,,,,,,0.252485,1.95942,,,,,0.238806,5.36,75,25,10,53,0.350746,7.691,0.063,0.854,1.791,1.78667
53,adjnoun_adjacency,0,112,425,,,,0,5429,39977,318768,284,2579,43198,49,,,7.58929,0.0683719,,112,,,5,1.93124,2.9806,2,2.47239,0.417311,0.345882,,,0.934657,1.58957,3.621,3.621,0.214,-0.129348,0.000155916,0.156935,,13.1502,,,,0.420969,0.276497,0.675374,0.0222476,0.0535714,6,,,,,,0.69502,1.72702,,,,,,,,,,,,,,,,
54,moreno_beach,0,43,336,,,,0,5831,36530,180422,1096,12034,120268,31,,,15.6279,0.372093,,43,,,3,1.26555,1.92656,2,1.69651,0.237403,0.409226,,,0.976716,2.1579,5.021,5.021,0.286,-0.146965,0.000131592,0.563883,,125.53,,,,0.724591,0.678918,5.58632,0.0893645,0.0,0,,,,,,6.69793,2.21941,,,,,,,,,,,,,,,,
55,edit-vowikiquote,0,100,139,,,106,,550,2808,12283,,143,3568,37,,,2.78,0.0504762,1.31132,40,,,9,2.19083,5.65628,3,3.28262,0.486536,0.327338,,,0.906524,3.18264,3.121,3.121,0.016,0.244695,0.0114723,,,9.41697,,,,,,,,0.42,42,,,,,,0.0645932,1.16803,,,,,0.266187,4.63333,70,30,8,37,0.366906,5.081,0.289,0.683,2.251,1.98571
56,dimacs10-polbooks,0,105,441,,,,0,4822,22689,91898,560,3509,48242,25,,,8.4,0.0807692,,105,,,7,2.20939,4.05049,3,2.84111,0.327978,0.375283,,,0.961592,1.79096,2.621,2.621,0.263,-0.127896,0.000139766,0.348403,,11.9326,,,,0.564121,0.448155,1.2762,0.0379821,0.0190476,2,,,,,,0.323607,1.02693,,,,,,,,,,,,,,,,
57,edit-sewikibooks,0,110,141,,,115,,581,2889,12389,,192,4130,42,,,2.56364,0.048957,1.22609,30,,,6,2.93127,4.49762,3,3.32414,0.473514,0.333333,,,0.9057,3.32382,2.891,2.891,0.021,-0.0291676,0.756989,,,10.08,,,,,,,,0.490909,54,,,,,,0.0985221,2.31029,,,,,0.255319,4.86207,81,29,10,42,0.368794,5.931,0.669,0.072,2.411,1.74074
58,edit-bowikibooks,0,105,142,,,106,,615,3636,17798,,193,4220,43,,,2.70476,0.0491651,1.33962,39,,,8,1.86733,5.18389,2,2.92427,0.497313,0.320423,,,0.898418,3.45397,3.081,3.081,0.065,0.530682,4.8747400000000005e-09,,,10.1535,,,,,,,,0.480769,50,,,,,,0.124022,1.56672,,,,,0.246479,5.07143,77,28,5,43,0.366197,6.121,0.719,0.505,2.161,1.84416
59,moreno_seventh,1,29,376,,,,0,4476,99611,729055,1095,13524,126596,43,27,20,25.931,0.463054,,29,29,1.0,2,0.826364,1.75077,1,1.37125,0.180026,0.428191,0.37766,0.401596,0.982628,2.18841,7.811,7.811,0.818,-0.157512,0.000407219,0.733914,0.652579,59.6258,31.8755,26.7594,0.670213,0.736441,0.702142,6.27156,0.0909376,0.0,0,0.406183,5.121,0.419,8.991,0.638,11.9381,2.27436,,,,,,,,,,,,,,,,
