graph_name,name,code,n,m,konect_url,data_url
edit-bowikibooks,Wikibooks edits (bo),bbo,105,142,http://konect.cc/networks/edit-bowikibooks/,http://konect.cc/files/download.tsv.edit-bowikibooks.tar.bz2
moreno_seventh,Seventh graders,MX,29,376,http://konect.cc/networks/moreno_seventh/,http://konect.cc/files/download.tsv.moreno_seventh.tar.bz2
edit-xhwiktionary,Wiktionary edits (xh),mxh,141,147,http://konect.cc/networks/edit-xhwiktionary/,http://konect.cc/files/download.tsv.edit-xhwiktionary.tar.bz2
edit-ugwikibooks,Wikibooks edits (ug),bug,107,150,http://konect.cc/networks/edit-ugwikibooks/,http://konect.cc/files/download.tsv.edit-ugwikibooks.tar.bz2
league-fr1-2016,Ligue 1 (2016/2017),f6,20,380,http://konect.cc/networks/league-fr1-2016/,http://konect.cc/files/download.tsv.league-fr1-2016.tar.bz2
league-uk1-2013,Premier League (2013/2014),u3,20,380,http://konect.cc/networks/league-uk1-2013/,http://konect.cc/files/download.tsv.league-uk1-2013.tar.bz2
moreno_highschool,Highschool,MH,70,366,http://konect.cc/networks/moreno_highschool/,http://konect.cc/files/download.tsv.moreno_highschool.tar.bz2
edit-miwikibooks,Wikibooks edits (mi),bmi,94,155,http://konect.cc/networks/edit-miwikibooks/,http://konect.cc/files/download.tsv.edit-miwikibooks.tar.bz2
edit-gawikiquote,Wikiquote edits (ga),qga,112,157,http://konect.cc/networks/edit-gawikiquote/,http://konect.cc/files/download.tsv.edit-gawikiquote.tar.bz2
edit-rmwiktionary,Wiktionary edits (rm),mrm,142,156,http://konect.cc/networks/edit-rmwiktionary/,http://konect.cc/files/download.tsv.edit-rmwiktionary.tar.bz2
edit-akwikibooks,Wikibooks edits (ak),bak,121,164,http://konect.cc/networks/edit-akwikibooks/,http://konect.cc/files/download.tsv.edit-akwikibooks.tar.bz2
edit-aawiktionary,Wiktionary edits (aa),maa,139,171,http://konect.cc/networks/edit-aawiktionary/,http://konect.cc/files/download.tsv.edit-aawiktionary.tar.bz2
moreno_hens,Hens,Mh,32,496,http://konect.cc/networks/moreno_hens/,http://konect.cc/files/download.tsv.moreno_hens.tar.bz2
edit-guwikibooks,Wikibooks edits (gu),bgu,115,182,http://konect.cc/networks/edit-guwikibooks/,http://konect.cc/files/download.tsv.edit-guwikibooks.tar.bz2
edit-bmwiktionary,Wiktionary edits (bm),mbm,119,179,http://konect.cc/networks/edit-bmwiktionary/,http://konect.cc/files/download.tsv.edit-bmwiktionary.tar.bz2
edit-wawikibooks,Wikibooks edits (wa),bwa,171,187,http://konect.cc/networks/edit-wawikibooks/,http://konect.cc/files/download.tsv.edit-wawikibooks.tar.bz2
edit-lnwikibooks,Wikibooks edits (ln),bln,114,195,http://konect.cc/networks/edit-lnwikibooks/,http://konect.cc/files/download.tsv.edit-lnwikibooks.tar.bz2
edit-yowikibooks,Wikibooks edits (yo),byo,147,193,http://konect.cc/networks/edit-yowikibooks/,http://konect.cc/files/download.tsv.edit-yowikibooks.tar.bz2
dimacs10-football,American football,AF,115,613,http://konect.cc/networks/dimacs10-football/,http://konect.cc/files/download.tsv.dimacs10-football.tar.bz2
edit-kkwikiquote,Wikiquote edits (kk),qkk,176,200,http://konect.cc/networks/edit-kkwikiquote/,http://konect.cc/files/download.tsv.edit-kkwikiquote.tar.bz2
edit-bowiktionary,Wiktionary edits (bo),mbo,195,204,http://konect.cc/networks/edit-bowiktionary/,http://konect.cc/files/download.tsv.edit-bowiktionary.tar.bz2
edit-xhwikibooks,Wikibooks edits (xh),bxh,167,202,http://konect.cc/networks/edit-xhwikibooks/,http://konect.cc/files/download.tsv.edit-xhwikibooks.tar.bz2
edit-lbwikibooks,Wikibooks edits (lb),blb,175,208,http://konect.cc/networks/edit-lbwikibooks/,http://konect.cc/files/download.tsv.edit-lbwikibooks.tar.bz2
edit-muswiki,Wikipedia edits (mus),mus,163,221,http://konect.cc/networks/edit-muswiki/,http://konect.cc/files/download.tsv.edit-muswiki.tar.bz2
dbpedia-similar,Similarities (DBpedia),SI,430,565,http://konect.cc/networks/dbpedia-similar/,http://konect.cc/files/download.tsv.dbpedia-similar.tar.bz2
edit-zawikibooks,Wikibooks edits (za),bza,190,233,http://konect.cc/networks/edit-zawikibooks/,http://konect.cc/files/download.tsv.edit-zawikibooks.tar.bz2
edit-scwiktionary,Wiktionary edits (sc),msc,123,240,http://konect.cc/networks/edit-scwiktionary/,http://konect.cc/files/download.tsv.edit-scwiktionary.tar.bz2
edit-biwiktionary,Wiktionary edits (bi),mbi,244,245,http://konect.cc/networks/edit-biwiktionary/,http://konect.cc/files/download.tsv.edit-biwiktionary.tar.bz2
edit-towiktionary,Wiktionary edits (to),mto,248,248,http://konect.cc/networks/edit-towiktionary/,http://konect.cc/files/download.tsv.edit-towiktionary.tar.bz2
edit-yowiktionary,Wiktionary edits (yo),myo,237,254,http://konect.cc/networks/edit-yowiktionary/,http://konect.cc/files/download.tsv.edit-yowiktionary.tar.bz2
edit-pswikibooks,Wikibooks edits (ps),bps,174,257,http://konect.cc/networks/edit-pswikibooks/,http://konect.cc/files/download.tsv.edit-pswikibooks.tar.bz2
edit-twwiktionary,Wiktionary edits (tw),mtw,260,273,http://konect.cc/networks/edit-twwiktionary/,http://konect.cc/files/download.tsv.edit-twwiktionary.tar.bz2
edit-dzwiktionary,Wiktionary edits (dz),mdz,260,274,http://konect.cc/networks/edit-dzwiktionary/,http://konect.cc/files/download.tsv.edit-dzwiktionary.tar.bz2
edit-knwikibooks,Wikibooks edits (kn),bkn,204,278,http://konect.cc/networks/edit-knwikibooks/,http://konect.cc/files/download.tsv.edit-knwikibooks.tar.bz2
edit-ndswikibooks,Wikibooks edits (nds),bnds,244,286,http://konect.cc/networks/edit-ndswikibooks/,http://konect.cc/files/download.tsv.edit-ndswikibooks.tar.bz2
edit-bhwiktionary,Wiktionary edits (bh),mbh,268,289,http://konect.cc/networks/edit-bhwiktionary/,http://konect.cc/files/download.tsv.edit-bhwiktionary.tar.bz2
edit-kjwiki,Wikipedia edits (kj),kj,160,296,http://konect.cc/networks/edit-kjwiki/,http://konect.cc/files/download.tsv.edit-kjwiki.tar.bz2
edit-snwiktionary,Wiktionary edits (sn),msn,270,295,http://konect.cc/networks/edit-snwiktionary/,http://konect.cc/files/download.tsv.edit-snwiktionary.tar.bz2
edit-swwikibooks,Wikibooks edits (sw),bsw,264,297,http://konect.cc/networks/edit-swwikibooks/,http://konect.cc/files/download.tsv.edit-swwikibooks.tar.bz2
edit-htwikisource,Wikiquote edits (ht),qht,153,315,http://konect.cc/networks/edit-htwikisource/,http://konect.cc/files/download.tsv.edit-htwikisource.tar.bz2
edit-aswiktionary,Wiktionary edits (as),mas,300,310,http://konect.cc/networks/edit-aswiktionary/,http://konect.cc/files/download.tsv.edit-aswiktionary.tar.bz2
edit-cowikiquote,Wikiquote edits (co),qco,270,315,http://konect.cc/networks/edit-cowikiquote/,http://konect.cc/files/download.tsv.edit-cowikiquote.tar.bz2
edit-alswikibooks,Wikibooks edits (als),bals,270,323,http://konect.cc/networks/edit-alswikibooks/,http://konect.cc/files/download.tsv.edit-alswikibooks.tar.bz2
edit-howiki,Wikipedia edits (ho),ho,181,345,http://konect.cc/networks/edit-howiki/,http://konect.cc/files/download.tsv.edit-howiki.tar.bz2
convote,Congress votes,CO,219,764,http://konect.cc/networks/convote/,http://konect.cc/files/download.tsv.convote.tar.bz2
edit-mowiktionary,Wiktionary edits (mo),mmo,271,359,http://konect.cc/networks/edit-mowiktionary/,http://konect.cc/files/download.tsv.edit-mowiktionary.tar.bz2
edit-zuwikibooks,Wikibooks edits (zu),bzu,271,356,http://konect.cc/networks/edit-zuwikibooks/,http://konect.cc/files/download.tsv.edit-zuwikibooks.tar.bz2
edit-abwiktionary,Wiktionary edits (ab),mab,289,383,http://konect.cc/networks/edit-abwiktionary/,http://konect.cc/files/download.tsv.edit-abwiktionary.tar.bz2
edit-tkwikibooks,Wikibooks edits (tk),btk,307,373,http://konect.cc/networks/edit-tkwikibooks/,http://konect.cc/files/download.tsv.edit-tkwikibooks.tar.bz2
edit-mnwikibooks,Wikibooks edits (mn),bmn,253,388,http://konect.cc/networks/edit-mnwikibooks/,http://konect.cc/files/download.tsv.edit-mnwikibooks.tar.bz2
moreno_innovation,Physicians,MI,241,1098,http://konect.cc/networks/moreno_innovation/,http://konect.cc/files/download.tsv.moreno_innovation.tar.bz2
edit-nawikibooks,Wikibooks edits (na),bna,300,414,http://konect.cc/networks/edit-nawikibooks/,http://konect.cc/files/download.tsv.edit-nawikibooks.tar.bz2
edit-krwiki,Wikipedia edits (kr),kr,221,456,http://konect.cc/networks/edit-krwiki/,http://konect.cc/files/download.tsv.edit-krwiki.tar.bz2
edit-astwikibooks,Wikibooks edits (ast),bast,362,447,http://konect.cc/networks/edit-astwikibooks/,http://konect.cc/files/download.tsv.edit-astwikibooks.tar.bz2
edit-hzwiki,Wikipedia edits (hz),hz,245,457,http://konect.cc/networks/edit-hzwiki/,http://konect.cc/files/download.tsv.edit-hzwiki.tar.bz2
moreno_mac,Japanese macaques,MQ,62,1187,http://konect.cc/networks/moreno_mac/,http://konect.cc/files/download.tsv.moreno_mac.tar.bz2
edit-vowikibooks,Wikibooks edits (vo),bvo,394,499,http://konect.cc/networks/edit-vowikibooks/,http://konect.cc/files/download.tsv.edit-vowikibooks.tar.bz2
edit-cowikibooks,Wikibooks edits (co),bco,329,500,http://konect.cc/networks/edit-cowikibooks/,http://konect.cc/files/download.tsv.edit-cowikibooks.tar.bz2
edit-suwikibooks,Wikibooks edits (su),bsu,433,525,http://konect.cc/networks/edit-suwikibooks/,http://konect.cc/files/download.tsv.edit-suwikibooks.tar.bz2
edit-chowiki,Wikipedia edits (cho),cho,278,540,http://konect.cc/networks/edit-chowiki/,http://konect.cc/files/download.tsv.edit-chowiki.tar.bz2
edit-uzwikibooks,Wikibooks edits (uz),buz,500,565,http://konect.cc/networks/edit-uzwikibooks/,http://konect.cc/files/download.tsv.edit-uzwikibooks.tar.bz2
subelj_euroroad,Euroroads,ET,1174,1417,http://konect.cc/networks/subelj_euroroad/,http://konect.cc/files/download.tsv.subelj_euroroad.tar.bz2
edit-iiwiki,Wikipedia edits (ii),ii,251,616,http://konect.cc/networks/edit-iiwiki/,http://konect.cc/files/download.tsv.edit-iiwiki.tar.bz2
edit-astwikiquote,Wikiquote edits (ast),qast,394,637,http://konect.cc/networks/edit-astwikiquote/,http://konect.cc/files/download.tsv.edit-astwikiquote.tar.bz2
edit-amwikiquote,Wikiquote edits (am),qam,555,630,http://konect.cc/networks/edit-amwikiquote/,http://konect.cc/files/download.tsv.edit-amwikiquote.tar.bz2
moreno_crime,Crime,MC,1380,1476,http://konect.cc/networks/moreno_crime/,http://konect.cc/files/download.tsv.moreno_crime.tar.bz2
edit-dinwiki,Wikipedia edits (din),din,197,690,http://konect.cc/networks/edit-dinwiki/,http://konect.cc/files/download.tsv.edit-dinwiki.tar.bz2
edit-mhwiki,Wikipedia edits (mh),mh,307,662,http://konect.cc/networks/edit-mhwiki/,http://konect.cc/files/download.tsv.edit-mhwiki.tar.bz2
edit-lbwikiquote,Wikiquote edits (lb),qlb,423,667,http://konect.cc/networks/edit-lbwikiquote/,http://konect.cc/files/download.tsv.edit-lbwikiquote.tar.bz2
librec-filmtrust-trust,FilmTrust trust,FT,874,1853,http://konect.cc/networks/librec-filmtrust-trust/,http://konect.cc/files/download.tsv.librec-filmtrust-trust.tar.bz2
dimacs10-celegans_metabolic,Caenorhabditis elegans (metabolic),CE,453,2025,http://konect.cc/networks/dimacs10-celegans_metabolic/,http://konect.cc/files/download.tsv.dimacs10-celegans_metabolic.tar.bz2
edit-zh_min_nanwikibooks,Wikibooks edits (zh-min-nan),bzh-min-nan,520,750,http://konect.cc/networks/edit-zh_min_nanwikibooks/,http://konect.cc/files/download.tsv.edit-zh_min_nanwikibooks.tar.bz2
edit-lvwikibooks,Wikibooks edits (lv),blv,420,774,http://konect.cc/networks/edit-lvwikibooks/,http://konect.cc/files/download.tsv.edit-lvwikibooks.tar.bz2
unicodelang,Unicode languages,UL,868,1255,http://konect.cc/networks/unicodelang/,http://konect.cc/files/download.tsv.unicodelang.tar.bz2
edit-mgwikibooks,Wikibooks edits (mg),bmg,609,788,http://konect.cc/networks/edit-mgwikibooks/,http://konect.cc/files/download.tsv.edit-mgwikibooks.tar.bz2
edit-wowikiquote,Wikiquote edits (wo),qwo,654,841,http://konect.cc/networks/edit-wowikiquote/,http://konect.cc/files/download.tsv.edit-wowikiquote.tar.bz2
edit-kywikiquote,Wikiquote edits (ky),qky,611,864,http://konect.cc/networks/edit-kywikiquote/,http://konect.cc/files/download.tsv.edit-kywikiquote.tar.bz2
edit-kywikibooks,Wikibooks edits (ky),bky,647,905,http://konect.cc/networks/edit-kywikibooks/,http://konect.cc/files/download.tsv.edit-kywikibooks.tar.bz2
edit-zh_min_nanwikiquote,Wikiquote edits (zh-min-nan),qzh-min-nan,550,938,http://konect.cc/networks/edit-zh_min_nanwikiquote/,http://konect.cc/files/download.tsv.edit-zh_min_nanwikiquote.tar.bz2
arenas-jazz,Jazz musicians,JZ,198,2742,http://konect.cc/networks/arenas-jazz/,http://konect.cc/files/download.tsv.arenas-jazz.tar.bz2
moreno_propro,Yeast,Mp,1870,2277,http://konect.cc/networks/moreno_propro/,http://konect.cc/files/download.tsv.moreno_propro.tar.bz2
edit-fowikisource,Wikiquote edits (fo),qfo,691,991,http://konect.cc/networks/edit-fowikisource/,http://konect.cc/files/download.tsv.edit-fowikisource.tar.bz2
maayan-foodweb,Little Rock Lake,ML,183,2494,http://konect.cc/networks/maayan-foodweb/,http://konect.cc/files/download.tsv.maayan-foodweb.tar.bz2
lqfb-Unit,LiquidFeedback (units),Lu,770,931,http://konect.cc/networks/lqfb-Unit/,none
edit-iewikibooks,Wikibooks edits (ie),bie,705,1117,http://konect.cc/networks/edit-iewikibooks/,http://konect.cc/files/download.tsv.edit-iewikibooks.tar.bz2
edit-fywikibooks,Wikibooks edits (fy),bfy,739,1173,http://konect.cc/networks/edit-fywikibooks/,http://konect.cc/files/download.tsv.edit-fywikibooks.tar.bz2
edit-cywikibooks,Wikibooks edits (cy),bcy,781,1170,http://konect.cc/networks/edit-cywikibooks/,http://konect.cc/files/download.tsv.edit-cywikibooks.tar.bz2
dimacs10-netscience,Network science,NS,1461,2742,http://konect.cc/networks/dimacs10-netscience/,http://konect.cc/files/download.tsv.dimacs10-netscience.tar.bz2
maayan-faa,Air traffic control,TC,1226,2615,http://konect.cc/networks/maayan-faa/,http://konect.cc/files/download.tsv.maayan-faa.tar.bz2
edit-aawiki,Wikipedia edits (aa),aa,689,1189,http://konect.cc/networks/edit-aawiki/,http://konect.cc/files/download.tsv.edit-aawiki.tar.bz2
edit-uzwikiquote,Wikiquote edits (uz),quz,704,1221,http://konect.cc/networks/edit-uzwikiquote/,http://konect.cc/files/download.tsv.edit-uzwikiquote.tar.bz2
moreno_oz,Residence hall,MO,217,2672,http://konect.cc/networks/moreno_oz/,http://konect.cc/files/download.tsv.moreno_oz.tar.bz2
edit-angwikiquote,Wikiquote edits (ang),qang,625,1303,http://konect.cc/networks/edit-angwikiquote/,http://konect.cc/files/download.tsv.edit-angwikiquote.tar.bz2
edit-tgwikibooks,Wikibooks edits (tg),btg,960,1308,http://konect.cc/networks/edit-tgwikibooks/,http://konect.cc/files/download.tsv.edit-tgwikibooks.tar.bz2
edit-pawikibooks,Wikibooks edits (pa),bpa,824,1278,http://konect.cc/networks/edit-pawikibooks/,http://konect.cc/files/download.tsv.edit-pawikibooks.tar.bz2
ego-facebook,Facebook (NIPS),EF,2888,2981,http://konect.cc/networks/ego-facebook/,http://konect.cc/files/download.tsv.ego-facebook.tar.bz2
edit-alswiktionary,Wiktionary edits (als),mals,1271,1385,http://konect.cc/networks/edit-alswiktionary/,http://konect.cc/files/download.tsv.edit-alswiktionary.tar.bz2
asoiaf,A Song of Ice and Fire,IF,796,32629,http://konect.cc/networks/asoiaf/,http://konect.cc/files/download.tsv.asoiaf.tar.bz2
edit-kuwikibooks,Wikibooks edits (ku),bku,707,1350,http://konect.cc/networks/edit-kuwikibooks/,http://konect.cc/files/download.tsv.edit-kuwikibooks.tar.bz2
lqfb-Global,LiquidFeedback (global),Lg,775,1254,http://konect.cc/networks/lqfb-Global/,none
edit-iawikibooks,Wikibooks edits (ia),bia,885,1494,http://konect.cc/networks/edit-iawikibooks/,http://konect.cc/files/download.tsv.edit-iawikibooks.tar.bz2
wiki_talk_ht,Wikipedia talk (ht),Tht,536,1530,http://konect.cc/networks/wiki_talk_ht/,http://konect.cc/files/download.tsv.wiki_talk_ht.tar.bz2
edit-cvwikibooks,Wikibooks edits (cv),bcv,914,1498,http://konect.cc/networks/edit-cvwikibooks/,http://konect.cc/files/download.tsv.edit-cvwikibooks.tar.bz2
edit-afwikibooks,Wikibooks edits (af),baf,971,1487,http://konect.cc/networks/edit-afwikibooks/,http://konect.cc/files/download.tsv.edit-afwikibooks.tar.bz2
arenas-meta,Caenorhabditis elegans,PM,453,4596,http://konect.cc/networks/arenas-meta/,http://konect.cc/files/download.tsv.arenas-meta.tar.bz2
edit-zawiktionary,Wiktionary edits (za),mza,682,1607,http://konect.cc/networks/edit-zawiktionary/,http://konect.cc/files/download.tsv.edit-zawiktionary.tar.bz2
edit-ocwikibooks,Wikibooks edits (oc),boc,875,1684,http://konect.cc/networks/edit-ocwikibooks/,http://konect.cc/files/download.tsv.edit-ocwikibooks.tar.bz2
edit-tewikibooks,Wikibooks edits (te),bte,944,1646,http://konect.cc/networks/edit-tewikibooks/,http://konect.cc/files/download.tsv.edit-tewikibooks.tar.bz2
petster-hamster-household,Hamsterster households,PHh,1576,4032,http://konect.cc/networks/petster-hamster-household/,http://konect.cc/files/download.tsv.petster-hamster-household.tar.bz2
edit-ikwiktionary,Wiktionary edits (ik),mik,741,1873,http://konect.cc/networks/edit-ikwiktionary/,http://konect.cc/files/download.tsv.edit-ikwiktionary.tar.bz2
edit-kswiktionary,Wiktionary edits (ks),mks,888,1884,http://konect.cc/networks/edit-kswiktionary/,http://konect.cc/files/download.tsv.edit-kswiktionary.tar.bz2
edit-ngwiki,Wikipedia edits (ng),ng,663,1897,http://konect.cc/networks/edit-ngwiki/,http://konect.cc/files/download.tsv.edit-ngwiki.tar.bz2
dimacs10-celegansneural,Caenorhabditis elegans (neural),CE,297,4296,http://konect.cc/networks/dimacs10-celegansneural/,http://konect.cc/files/download.tsv.dimacs10-celegansneural.tar.bz2
